Tipo de Documento,Referencia / Factura,Importe de factura,Descuento,Motivo del descuento,Pago Neto,Comentarios
DSTO COMERCIAL FIJO,,-33107300.0,,,-33107300.0, 
DSTO COMERCIAL FIJO,,-31721576.0,,,-31721576.0, 
DSTO COMERCIAL FIJO,,-6993933.0,,,-6993933.0, 
DSTO COMERCIAL FIJO,,-34527086.0,,,-34527086.0, 
DSTO COMERCIAL FIJO,,-16870547.0,,,-16870547.0, 
DSTO COMERCIAL FIJO,,-209397.0,,,-209397.0, 
DSTO COMERCIAL FIJO,,-2025258.0,,,-2025258.0, 
DSTO COMERCIAL FIJO,,-18707898.0,,,-18707898.0, 
DSTO COMERCIAL FIJO,,-1458093.0,,,-1458093.0, 
DEVOLUCION MERCANCI AAAA-,,-677573.0,,,-677573.0, 
DEVOLUCION MERCANCI AAAA-,,-854757.0,,,-854757.0, 
DEVOLUCION MERCANCI AAAA-,,-349748.0,,,-349748.0, 
DEVOLUCION MERCANCI AAAA-,,-739367.0,,,-739367.0, 
DEVOLUCIONES,,-79532.0,,,-79532.0, 
DEVOLUCIONES,,-723024.0,,,-723024.0, 
DEVOLUCIONES,,-1563218.0,,,-1563218.0, 
DEVOLUCIONES,,-110470.0,,,-110470.0, 
DEVOLUCIONES,,-2959463.0,,,-2959463.0, 
DEVOLUCIONES,,-1418884.0,,,-1418884.0, 
DESCUENTO EN PRIMER,,-3104237.0,,,-3104237.0, 
FACTURA VENTA,VPP2 2019435,-2247592352.0,,,-2247592352.0, VPP2 2019435
DIF. COSTO/CANTIDAD,PMP1261958,-16873.0,,,-16873.0, PMP1261958
DIF. COSTO/CANTIDAD,PMP1259911,-423365.0,,,-423365.0, PMP1259911
DIF. COSTO/CANTIDAD,PMP1260538,-91095.0,,,-91095.0, PMP1260538
DIF. COSTO/CANTIDAD,PMP1259907,-135340.0,,,-135340.0, PMP1259907
DIF. COSTO/CANTIDAD,PMP1259905,-103957.0,,,-103957.0, PMP1259905
DIF. COSTO/CANTIDAD,PMP1259549,-212513.0,,,-212513.0, PMP1259549
DIF. COSTO/CANTIDAD,PMP1260274,-9733.0,,,-9733.0, PMP1260274
