R5504575
Fecha de pago:;26/09/2025
Forma de pago:;CTA;********2566
Cía;Cliente;Tipo Doc;Num Doc;Num Factura;Valor;Fecha Doc
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309390;'005002000657599;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309391;'005002000657601;57.08;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309585;'005002000657602;26.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309586;'005002000657603;13.56;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309587;'005002000657604;26.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309588;'005002000657605;97.68;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309588;'005002000657605;-.02;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309589;'007003000834529;42.64;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309590;'007003000834530;61.51;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309591;'007003000834535;40.39;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309592;'007003000834536;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309592;'007003000834536;141.98;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309593;'007003000834538;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309593;'007003000834538;62.86;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309594;'007003000834539;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309594;'007003000834539;98.12;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309595;'007003000834540;77.11;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309595;'007003000834540;-.02;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309596;'007003000834565;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309596;'007003000834565;84.15;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309597;'007003000834566;127.17;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309597;'007003000834566;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309598;'007003000834574;41.30;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309599;'007003000834597;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309599;'007003000834597;124.36;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309600;'007003000834598;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309600;'007003000834598;78.63;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309601;'007003000834639;251.47;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309601;'007003000834639;-.02;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309602;'007003000834649;62.86;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309602;'007003000834649;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309603;'007003000834650;16.63;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309604;'007003000834658;84.15;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309604;'007003000834658;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309605;'007003000834661;81.71;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309606;'007003000834663;95.26;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309606;'007003000834663;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309607;'007003000834664;42.64;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309608;'007003000834666;87.49;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309608;'007003000834666;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309609;'007003000834679;42.64;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309610;'007003000834682;167.66;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309610;'007003000834682;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309611;'007003000834689;73.93;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309612;'007003000834731;103.81;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309613;'007003000834761;448.43;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309613;'007003000834761;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309614;'007003000834762;88.58;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3309614;'007003000834762;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310019;'005002000657501;26.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310020;'005002000657503;26.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310021;'005002000657505;52.62;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310021;'005002000657505;-.01;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310022;'005002000657507;26.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310023;'005002000657511;63.09;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310023;'005002000657511;-.02;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310024;'005002000657513;26.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310025;'005002000657523;26.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310026;'005002000657566;26.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310027;'005002000657570;102.54;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310027;'005002000657570;-.02;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310028;'005002000657596;15.78;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310029;'005002000657598;57.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310030;'005002000657600;26.87;13/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310653;'007003000834818;47.07;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310654;'007003000834819;65.38;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310654;'007003000834819;.01;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310655;'007003000834820;81.71;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310655;'007003000834820;.01;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310656;'007003000834835;174.14;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310656;'007003000834835;-.03;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310657;'007003000834864;47.72;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310657;'007003000834864;-.01;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310658;'007003000834873;35.99;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310658;'007003000834873;-.01;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310659;'013002000332149;2433.53;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310660;'013002000332151;244.22;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310661;'013002000332152;1267.31;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310661;'013002000332152;.01;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310662;'013002000332153;558.78;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310662;'013002000332153;-.01;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310663;'013002000332154;298.19;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310916;'005002000657700;26.87;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310917;'005002000657701;201.08;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310917;'005002000657701;-.01;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310918;'007003000834809;155.01;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310918;'007003000834809;-.03;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3310919;'013002000332160;388.11;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3311727;'005002000657749;26.87;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3311728;'005002000657750;193.70;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3311728;'005002000657750;-.03;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312062;'005002000657791;16.63;17/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312063;'005002000657793;222.15;17/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312063;'005002000657793;-.03;17/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312064;'005002000657805;26.87;17/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312065;'005002000657834;26.87;17/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312066;'005002000657842;16.63;17/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312067;'005002000657843;26.87;17/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312068;'007003000834946;20.20;17/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312069;'007003000835018;87.37;17/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312069;'007003000835018;-.02;17/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312070;'007003000835041;334.27;17/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312070;'007003000835041;-.03;17/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312071;'007003000835043;260.70;17/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312071;'007003000835043;-.03;17/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312072;'007003000835076;20.20;17/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312122;'013002000331511;127706.49;04/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312122;'013002000331511;424.09;04/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312129;'013002000332148;38082.03;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312129;'013002000332148;.18;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312129;'013002000332148;78.76;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312130;'013002000332150;15259.78;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312130;'013002000332150;.06;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312600;'005002000658006;26.87;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312601;'005002000658015;118.76;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312601;'005002000658015;-.02;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312602;'005002000658047;52.11;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312603;'005002000658049;81.15;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312603;'005002000658049;-.01;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312604;'005002000658053;26.87;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312605;'005002000658060;50.43;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312605;'005002000658060;-.01;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312606;'005002000658062;64.52;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312606;'005002000658062;-.01;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312607;'005002000658125;20.20;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312608;'007003000835143;218.45;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312609;'007003000835193;48.74;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312610;'007003000835228;141.34;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312610;'007003000835228;-.01;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312611;'007003000835232;117.51;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312611;'007003000835232;-.02;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312612;'007003000835267;35.99;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312612;'007003000835267;-.01;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312613;'007003000835274;27.10;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312613;'007003000835274;-.01;18/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312954;'013002000332155;600.64;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312955;'013002000332159;745.17;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312956;'013002000332161;.14;16/06/2025
'00001;UNILEVER ANDINA ECUADOR S.A.;V1;3312956;'013002000332161;47063.69;16/06/2025
